,CD63 ICAM,CD63 p30,CD63 TIGIT,CD63 p30 + TIGIT,CD63 PD1,CD63 p30 + PD1,CD63 KLRG1,CD63 p30 + KLRG1,PFR ICAM,PFR p30,PFR TIGIT,PFR p30 + TIGIT,PFR PD1,PFR p30 + PD1,PFR KLRG1,PFR p30 + KLRG1
14,47757.337605090914,700604.6825712001,23882.174556399994,297535.1002479,26399.911099999998,845014.7203225,10096.954857666668,247974.3222144,86316.70004533335,276070.3274736,93531.1119855,191591.8796871,2860.822725000002,232573.161834,53898.07465666667,76369.65488639999
15,156662.94120727276,560597.6002432001,143702.50019440003,938833.8163294,44057.36501599999,21567.730577000002,70771.28619333333,110937.6359032,189863.62700166664,28476.189273600008,131000.21679499999,649785.7686886,34646.5787535,35898.6883288,80013.76602933335,68371.8420192
16,66904.99290227272,23459.390743099997,247478.79925840005,54637.9084303,129259.56442533332,-4205.611925999998,70342.353528,100399.79585280002,56409.51337666668,3843.6076423000013,109588.91793500002,273477.6136417,242292.21936900003,950.9635111999996,76026.396912,69032.3429888
17,46481.39452781818,33405.57951419999,74385.96226599999,29171.3859468,377196.710476,31857.456541500003,28314.326674666663,68177.90073640001,67059.00645066665,1126.090086600003,5013.0904625,67861.8503532,177721.52819700004,94937.7691284,103716.37187866669,110757.35095040001
18,116518.29782127273,1319765.9964665,141374.030294,45525.81166050001,54630.216093333336,120580.047633,90231.31788533332,149444.1635473,122549.58665000001,173751.7917245,87906.5199775,126730.83771950002,29426.397848750003,49191.774586800006,181872.11355833334,136853.4534268
19,7261.547160909089,298473.3769409,54751.63553639999,136734.90291960002,294994.75368933333,472670.29188,65083.94187999997,95172.02111940001,32116.11616133333,32760.61534270001,57816.215127,110680.1210884,201923.87103575002,105018.55891200001,3490.7847279999987,49439.9056584
20,265761.0395950909,368458.26086880005,386804.0466252,77569.8504646,5468.556954666659,243509.730656,71694.23941866666,204485.47219819998,272704.185314,65268.830814400004,124030.85458500001,44625.306651399995,5564.836207,112179.60922880002,194484.73637366667,243176.34960119997
21,5924.644933090909,770878.5457997001,182821.30391400002,16225.697906900008,203350.79240666665,179137.3868835,254090.81814599992,592710.354975,59533.846522333326,67465.35325010002,171564.0812325,21095.340355099997,68112.38611450001,43553.2448322,31854.206802,126009.99535000001
22,21482.92004363636,242370.25163550003,289501.4400076,214498.3880502,95383.20944399998,121537.113302,283787.5592516666,58923.852878800004,112409.76519466666,18950.282551500008,45229.6027885,50862.0528918,185449.51677150003,110733.62743520002,274437.05922666664,14280.4606208
23,32580.70863672727,949536.6615420999,482109.63902820006,274448.59910999995,11902.168877666656,920.0687895000083,146353.574352,-185.29446839998855,49436.72300933332,65156.44150030001,40491.40030650001,89139.42038999998,1445.3757097500002,-311.9255777999988,88100.38236,-3049.741730400001
