Name,ICAM,p30,PD1,p30 + PD1
D2-250212,-462.3764865000012,24810.72521155556,26966.70631641667,140527.064885
D2-250212,1975.570509000001,19683.820714888898,-930.4709692499964,1768483.935033
D2-250212,-679.4684415000011,43509.201775555564,569.939391750002,1015669.3015124999
D2-250212,324.29256749999877,50856.05959200001,606.1482245000007,624857.3594354999
D2-250212,-2453.852049000001,6381.843685777785,324707.91772125004,193889.72713250003
D2-250212,-2907.502331000007,71956.32302722221,2895.286115250001,584620.2299735
D2-250212,6300.917271999999,31599.176702777782,-601.4524814999968,252283.42419199998
D2-250212,1818.0168724999967,2339.790392888892,-2149.930333999997,1860129.1237415
D2-250212,2778.4636034999967,97796.78784244446,795.9949675000025,1300578.846651
D2-250212,7144.702579499994,181310.68994666668,9877.505715000007,851343.5985670001
D2-250212,-3140.3978675000108,37851.111075555564,181815.57382725,344723.06643749995
D2-250212,-2368.774875500003,7270.984784,3119.426295750003,519673.31199749996
D2-250212,-3535.784812500002,48106.10678577777,23558.83996625,1706972.272119
D2-250212,1504.1636414999957,18921.777491666675,47890.76809900001,115345.11858800003
D2-250212,3042.8556144999966,211236.64303333333,7395.736909750009,427475.04697599995
D2-250212,50386.8020425,4913.816416666668,82030.57244475,201049.113412
D2-250212,3854.8828445,259133.0746951111,2775.095242500007,907919.6898149999
D2-250212,-540.793773500005,10823.15244788889,6231.614512500004,159370.5732175
D2-250212,4609.1642024999965,47760.64395333333,-3404.5230697499937,1121863.765308
D2-250212,-1593.531984000001,43805.36037688889,-78.3361262499966,184040.8728075
D2-250212,4431.618215499999,248074.3509355555,-446.3253482499931,734604.5769685
D1-250214,71470.52194333333,81167.33587499999,111276.1294575,347565.064725
D1-250214,174565.74327233332,61792.36150200001,33660.1005975,653074.9327872
D1-250214,56733.63072466668,113744.90753250002,126476.8104105,131270.47733040003
D1-250214,-925.2864833333351,28012.0715224,58442.504449000015,106284.9998814
D1-250214,57000.62128199999,134539.2256379,32401.458966500002,267886.1754656
D1-250214,21273.810980333335,22503.94321050001,176436.221005,130096.6418102
