,Corrected CD63 ICAM,Corrected CD63 I + p30,Corrected CD63 I + TIGIT,Corrected CD63 I + p30 + TIGIT,Corrected CD63 I + PD-1,Corrected CD63 I + p30 + PD1,Corrected CD63 I + KLRG1,Corrected CD63 I + p30 + KLRG,Corrected PFR ICAM,Corrected PFR I + p30,Corrected PFR I + TIGIT,Corrected PFR I + p30 + TIGIT,Corrected PFR I + PD-1,Corrected PFR I + p30 + PD1,Corrected PFR I + KLRG1,Corrected PFR I + p30 + KLRG
11,-25451.142716615344,232786.09734166664,178772.6966912,555023.4719669694,1691.7584869999991,26436.36481733332,28163.658215874995,119296.22602828573,-28367.14125,161630.32883822222,1081745.5790341,87114.83780654546,-946.1430000000037,745677.8665425556,-423.7172980000032,214143.29756757143
12,8338.303022076958,428043.30532255553,105521.48241759997,48268.437159090914,17918.99293600001,985001.8955944446,36473.288688375,702105.0924464286,-19082.259156000007,98304.33273222222,1206749.7100574998,714466.613632909,2928.441319999998,458827.91750377766,670.2802121249979,25774.513060999998
13,-11490.719987999997,1166700.8588311113,476315.3637131999,2895077.899810637,1244701.8956849999,437940.11180877767,32996.4383475,350408.6612949905,-9406.901031000005,141456.83004022224,52457.3474425,1328828.9676091818,13849.151639,305598.08873377775,-338.248689500002,231090.10150714288
14,-10590.192748846137,832415.8212566666,81649.2579738,571703.2449340909,483455.69844000007,15430.817208000008,145730.147959,153917.753042,-13273.703949000006,255252.47073211113,522392.4689529,474326.11087018176,8763.526976000005,461824.0160416667,1188652.108310625,162643.02144714285
15,34151.51829935599,906680.7205060001,727554.8100424001,1245323.3508174547,10806.917415000004,490727.0791615556,101342.89995212502,1585759.9852560002,-12122.604875000008,336910.8288424444,624410.2202297,462890.9732241818,459923.61008,1420363.336726889,3561.059812624997,659190.0828857142
16,25540.493724,684763.8861112222,1022282.0218404001,915805.0087136363,90864.1305,274433.77375611104,39826.611313125,513525.4482857144,1355.3665609999953,432168.3938491111,584016.2423297999,457798.47425187705,13799.809503999999,875450.9193241111,40492.23347188134,173742.19958514287
17,-15381.47072069229,95015.28198044446,33496.434067199996,1551056.5538363638,47767.95408500002,2829435.6106206663,290242.33155974996,209753.98625571432,-1720.3645520000027,455575.91202355555,1905367.9972442999,158446.25006890908,-349.78162500000144,319583.35258166667,1969.3315632499944,124738.09477371427
18,1683.393311692329,298715.48290888884,1003115.2536370002,42227.064485454546,428697.9225255,98268.44375944443,352441.215044625,317539.01319342863,263707.24334399996,6817.369266777778,817079.7909617,111810.87796418181,264019.57584800007,174323.81306199997,-70.63591837499916,290954.9538514286
19,-3520.9734738461557,190696.90210911108,23264.5894272,328436.0515429091,40989.8616245,624027.4632253575,241844.717071125,612005.0544188572,-13871.169496000002,401640.0356515556,302756.68973549997,483922.7057352727,1375.737509999999,1537674.0610768888,2976.043058624993,587479.2070477143
20,-9111.82959230768,1000957.144187,52584.99882999998,708681.7817074545,114720.04166800002,496524.51990088884,134673.82769399998,1224858.4601844286,137804.38799400002,48751.45253044444,103993.83849919999,269636.66967163637,456592.82384,178789.3954204445,94785.09803124997,458851.3590171428
