,Name,ICAM,p30,KLRG1,p30 + KLRG1
29,D1-250214,-3520.9734738461557,75200.711648,63529.959223625,257487.0730032857
30,D1-250214,-15381.47072069229,298715.48290888884,31630.688237124996,123563.84863271433
31,D1-250214,-17902.785282307683,140344.18011666668,307834.00734375,587130.6947777143
32,D1-250214,-9111.82959230768,592712.7518791112,234217.2698225,350408.6612949905
33,D1-250214,-72917.19442953845,556230.7877415213,-185.8229371250054,209753.98625571432
34,D1-250214,-25.342133846133947,876886.1124408889,19276.635087000002,561650.4874971429
35,D1-250214,-1365.7022711538302,684763.8861112222,128677.50435299998,88928.96400000002
36,D1-250214,80616.64361261541,252045.63545944446,42873.161010749995,4066.7431011428635
37,D1-250214,16649.14142276923,233295.00379244442,436004.017080625,353347.06520914286
38,D1-250214,-21856.899057230752,1538348.8574295556,69929.572305625,39810.469346285696
39,D1-250214,-14626.604984538426,407009.75216055557,51827.11208762499,763245.3665942857
40,D1-250214,12866.108056538505,428043.30532255553,28163.658215874995,143257.7565194286
41,D1-250214,-11490.719987999997,171089.320647,76417.863776625,1064567.7182171426
42,D1-250214,14086.076504615397,666919.2749671111,93022.51834487497,4342.517527714284
43,D1-250214,-5876.226370153847,305378.48658333335,448020.1161460001,586661.3463659999
44,D1-250214,564635.583670154,832415.8212566666,191236.179798125,18907.17164328572
45,D1-250214,34151.51829935599,508381.1899333333,42285.08150999998,510936.49076214293
46,D1-250214,-18340.561359615356,1129706.0266800001,321489.12503475,79010.1915567143
0,D2-250207,39624.66208575,64226.63511200002,32154.432691333328,60737.13333600001
1,D2-250207,11919.102210750003,21792.501120000008,396479.7409724444,99247.55163533334
2,D2-250207,44508.21194962501,654476.202593,7492.307148888885,102098.8115
3,D2-250207,26873.608748250008,103349.653056,85912.99643666667,52821.419418
4,D2-250207,11474.619174374999,296169.75132000004,32963.478624222225,275686.72228800005
5,D2-250207,13678.069752375006,795444.69209,231237.79109533332,93499.68960733332
6,D2-250207,12787.821861875003,190066.14263000002,8919.210683333338,35961.963823333346
7,D2-250207,40348.73274437501,421328.80643500003,38298.76094222223,54819.291683333344
8,D2-250207,20690.48371950001,126663.43236,49819.852770222235,857276.9793733333
9,D2-250207,7359.323087875007,1088691.426407,60719.53681144447,182495.80160533334
10,D2-250207,20365.026671000007,154387.334388,96924.18089277776,259591.16527333338
11,D2-250207,17173.01849437501,167883.483723,21850.16295777777,60908.90696800001
12,D2-250207,35584.77025675001,131325.704211,23324.30246222223,58511.611027000006
13,D2-250207,11057.01375687501,502385.54705700005,205937.58183044445,318246.689085
14,D2-250207,24255.83046287502,68058.38127900001,221233.22509377776,322496.0342533333
15,D2-250207,14540.789594250007,46021.966911,157530.47362577778,681929.4971096667
16,D2-250207,7359.323087875007,155740.413724,52151.07250388889,496554.28029266675
17,D2-250207,18644.714406875006,47875.35432,92531.22954241921,772049.5342489999
18,D2-250207,48578.02205687501,88781.15570400002,35085.46949077778,218193.32878000004
19,D2-250207,1918.6081378750023,242148.72632100005,20782.40646222222,178557.64705066668
20,D2-250207,19892.746882125,467304.216821,47005.50783911112,88102.38212966667
21,D2-250207,46451.827004250015,553577.63432,37781.02257766668,247483.315764
0,D2-160125,11108.04098559999,12505.178304000005,41904.852498,97133.58893979999
1,D2-160125,7746.510614399987,116056.853345,49451.95606000001,68016.1014329
