,Name,ICAM,p30,PD1,p30 + PD1
0,D1-250214,9421.836693818179,1178824.3120807998,26503.058885333332,114409.09672349997
1,D1-250214,32478.390280636362,710472.4846785,89779.73226666667,58668.65636450001
2,D1-250214,154240.00176618184,1758297.683954,21995.269902,645287.055336
3,D1-250214,16491.55173454545,955119.2861250001,58970.15856666667,280195.9974375
4,D1-250214,24695.733168000006,339616.2917843,51271.64803666666,454952.65513900004
5,D1-250214,50031.00106727272,668578.3601672,27543.770217333324,368056.2865660001
6,D1-250214,49086.228628181816,426044.60683050007,20851.592327333325,200696.65860750002
7,D1-250214,15130.71440363636,336046.521242,20581.679072,408144.81464700005
8,D1-250214,57857.182595636375,488622.3327232,40451.91317433333,492417.73627200007
9,D1-250214,65097.42867736364,636925.8745429999,29412.978000000003,970634.240625
10,D1-250214,7679.334177000004,143565.1823097,574524.18595,248580.62885699997
11,D1-250214,57391.29403636362,117628.8188906,114767.13457999998,846786.8005049999
12,D1-250214,38163.96625772727,10914.306920999996,50391.08527000001,412567.69957
13,D1-250214,73322.98526563635,474772.36467660003,25214.742868333342,68354.38395650001
14,D1-250214,47757.337605090914,700604.6825712001,26399.911099999998,845014.7203225
15,D1-250214,156662.94120727276,560597.6002432001,44057.36501599999,21567.730577000002
16,D1-250214,66904.99290227272,23459.390743099997,129259.56442533332,-4205.611925999998
17,D1-250214,46481.39452781818,33405.57951419999,377196.710476,31857.456541500003
18,D1-250214,116518.29782127273,1319765.9964665,54630.216093333336,120580.047633
19,D1-250214,7261.547160909089,298473.3769409,294994.75368933333,472670.29188
20,D1-250214,265761.0395950909,368458.26086880005,5468.556954666659,243509.730656
21,D1-250214,5924.644933090909,770878.5457997001,203350.79240666665,179137.3868835
22,D1-250214,21482.92004363636,242370.25163550003,95383.20944399998,121537.113302
23,D1-250214,32580.70863672727,949536.6615420999,11902.168877666656,920.0687895000083
24,D1-250214,14998.397509090908,1314420.0993508,123540.955081,211134.69761250002
25,D1-250214,-2176.9412089090983,267170.9867517,101654.01297766669,241990.77597749996
26,D1-250214,25017.07613599999,39362.37601149999,16283.177886666672,17529.830707499998
27,D1-250214,18422.74319454546,41464.88224199999,31330.775080000007,358485.305664
28,D1-250214,17268.251388272736,190607.62534379997,217592.039223,178466.4125955
29,D1-250214,106545.30598436363,457809.7798929,29218.97480699999,76702.94184500001
30,D1-250214,-2304.3868932727273,232535.290582,10552.126468333328,152370.79637299996
31,D1-250214,28012.961455909084,579042.1540904001,-455.2986200000014,402799.20028750005
32,D1-250214,87708.08012127271,532555.604564047,13142.167800666655,353153.0775618267
33,D1-250214,59181.69111536363,983223.6010289,20319.93631433333,77144.132975
34,D1-250214,109409.94701363635,178416.4040926,66777.87275666665,152599.87539449998
35,D1-250214,70292.13139345453,1552125.3889203,146130.34034666664,44007.8767695
36,D1-250214,202736.3657581818,834432.3426820999,-3390.464301,386736.9513525
37,D1-250214,5969.401352727276,105909.76325999999,20422.016235333344,299969.38479200006
38,D1-250214,-14093.15047800001,34089.6515313,19541.69717333335,305057.23867500003
39,D1-250214,31250.10563381818,1523371.8908521999,13527.15988,47442.49057950001
40,D1-250214,15621.350405000005,300844.2225549,190198.811953,1950494.5265940004
41,D1-250214,22857.548219545453,787391.637417,245604.90353333333,207512.4500595
42,D1-250214,68255.74921072728,1675585.293777,-4371.008854333333,93402.1224975
43,D1-250214,82347.68679709092,680212.6292755,84717.71055733332,153079.859649
44,D1-250214,114334.94838054544,18681.012312199993,-7073.72479800001,982115.788608
45,D1-250214,15517.853254090907,200717.48286419996,64529.012983333334,52682.9171205
46,D1-250214,24994.916491999997,814001.1984109,46723.13626166666,811028.8454910001
47,D1-250214,54588.11766763636,497631.03965250007,82196.947414,305663.338311
48,D1-250214,16145.672611454538,223514.42950550004,9747.415003999999,224348.0574975
49,D1-250214,109247.81247654546,679815.6793195,18753.932885333335,180761.58474049997
50,D1-250214,60992.54899790909,188007.0448795,47554.663778999995,2212205.5489605004
51,D1-250214,69856.22821090909,688485.2034074,74744.59248757779,26731.326658499995
52,D1-250214,12032.464817454544,430044.31575,95728.20873733333,82259.31318
53,D1-250214,121348.74339490908,270817.83493189997,37807.668953333334,178915.07692350002
54,D1-250214,4966.694707727271,300595.3914789,104065.70587733331,259873.3674315
0,D2-250207,5979.649691076949,1096717.8785042223,60527.88279999999,474997.3153651112
1,D2-250207,-2776.9250295384554,58704.20281488891,114494.33164350002,445330.1173488889
2,D2-250207,-22381.584813615365,554573.4831222221,59913.8617525,161137.93036366667
3,D2-250207,-15600.71949538462,434239.0010751111,90864.1305,496524.51990088884
4,D2-250207,117478.32133530776,860004.9836761111,6825.279187000007,278733.4439527778
5,D2-250207,-30896.757048307685,148982.7095018889,79359.54446250001,683483.4053866665
6,D2-250207,292335.77696676925,411106.05574844446,483455.69844000007,872624.9445724443
7,D2-250207,8338.303022076958,126750.43583999999,24458.21476500001,111678.49586122221
8,D2-250207,-15406.689166076903,168866.1077624445,215995.22397750005,333640.164768
9,D2-250207,25540.493724,633004.4296232221,51400.704663000026,279250.2843448889
10,D2-250207,-17054.491223384626,3080.6690513333306,114720.04166800002,86924.0892871111
11,D2-250207,100728.76623576923,143075.9846561111,263717.59822650003,844908.5638372223
12,D2-250207,1683.393311692329,352546.19995555555,78587.58095550002,250985.4117955555
13,D2-250207,45828.245117153856,540613.7284484444,174127.90007249996,2275749.514656556
14,D2-250207,-31550.302818461438,411902.466725,66137.70187199999,1741669.8043764443
15,D2-250207,-4204.560116769222,144141.68381511112,485141.47967699997,255270.35044933332
16,D2-250207,32165.728884307697,347228.698418,1224.0234370000107,1115634.9618696666
17,D2-250207,-4550.689279692306,169592.7185591111,11205.144551999998,424209.4115371111
18,D2-250207,-10590.192748846137,458083.3238911111,633132.9343610001,1634899.2354577777
19,D2-250207,-66267.66629446152,582638.4863383333,586191.4837024999,588576.4919262222
20,D2-250207,-389.710834230762,926969.5432782221,17918.99293600001,715735.2696866666
21,D2-250207,378849.4214332308,435749.89826133335,1691.7584869999991,324793.2350871111
22,D2-250207,-25451.142716615344,1474549.4941893332,249177.66678599996,455501.51477999997
23,D2-250207,142185.46936507692,274384.75800711114,10806.917415000004,106792.28822577775
24,D2-250207,-84089.17254499995,296350.06738855556,1191336.0192855,1960187.4005797775
25,D2-250207,17294.956105769263,868892.1805134445,20281.053055000026,1210547.2009471112
26,D2-250207,44135.59730815384,613773.4406454444,47767.95408500002,262442.36082855554
27,D2-250207,-3126.080683846143,526916.5106666667,1244701.8956849999,464159.33291733335
28,D2-250207,-5297.341150153836,773079.520044,477739.1930155,756594.2009256666
29,D2-250207,-3520.9734738461557,75200.711648,257709.277443,437940.11180877767
30,D2-250207,-15381.47072069229,298715.48290888884,327570.4736315,262695.8898227777
31,D2-250207,-17902.785282307683,140344.18011666668,138612.329822,624027.4632253575
32,D2-250207,-9111.82959230768,592712.7518791112,13712.516012500011,1040441.1314385554
33,D2-250207,-72917.19442953845,556230.7877415213,427886.78515,386053.4686702222
34,D2-250207,-25.342133846133947,876886.1124408889,18537.834623500006,264783.67405022215
35,D2-250207,-1365.7022711538302,684763.8861112222,137235.237165,857288.6761342222
36,D2-250207,80616.64361261541,252045.63545944446,-3243.5396624999994,423874.2095928889
37,D2-250207,16649.14142276923,233295.00379244442,27874.720575,335883.8670737779
38,D2-250207,-21856.899057230752,1538348.8574295556,24980.508279499976,162715.9165084444
39,D2-250207,-14626.604984538426,407009.75216055557,252603.54298300002,201989.74247777776
40,D2-250207,12866.108056538505,428043.30532255553,45417.35130400001,72726.8832822222
