,ICAM,p30,TIGIT,p30 + TIGIT,PD1,p30 + PD1,2A,p30 + 2A,ICAM,p30,TIGIT,p30 + TIGIT,PD1,p30 + PD1,2A,p30 + 2A
13,14480.17504500001,77502.27123929998,10127.100206181814,1293.9885419999919,3115.811057999992,79597.03538566668,451869.56146080006,616758.9258548999,-4910.238746666662,10726.439084999998,-507.482228181816,118910.56376350002,4939.790819999998,-692.9190064444556,1498.375900000001,6591.985878400003
14,18498.312734999992,8802.0378633,13550.263177454544,963355.0657649998,-447.13461000000825,181449.154628,184441.95128589997,527611.6325395999,2895.555236,20219.123174,-112.51841727272586,22099.066591799998,-429.25270300000193,49463.52631666666,2885.9174456,-1323.100262400003
15,-57033.75347600001,4845.479867800008,17118.640699636366,1388730.470596,-20070.59485124998,124930.820982,91394.4078816,175061.88024000003,782.4344873333357,24409.438788000003,-3104.8874623636366,2527.354815300001,-158.1176400000004,243475.14165577776,-2819.897861000005,364.63354289999916
16,152511.19897499983,279059.37949260004,505069.11931909097,47396.453160000034,125007.99534712499,-7210.602258666666,40870.6994721,-3067.1355594999986,2194.577996666667,4175.913035000003,-1427.1292919999978,60069.752235399996,3957.3219269999972,56.71010266666053,324.5857089000001,585.5671071000033
17,141927.21367899998,15512.40469120002,86076.95972554546,194948.34333099998,88147.76555575003,149815.17338499997,32895.141963899994,672654.921723,-10081.878485000008,732.2533000000021,1989.6556090909144,1325.0216727999941,9062.573772000003,85043.03330111109,-993.0486803000022,9335.3146299
18,13325.168747999996,127097.28289143849,16778.558337272727,58080.540409000016,-2913.654908249984,13289.916985333337,-1988.0468763999888,1044420.5499936001,-1770.100072000001,11904.478650000012,2919.219267090899,2566.6384701999996,-2832.370138000002,26525.559813999993,1647.1866956999984,27578.985564699993
19,-9589.811520000047,131119.184895,116104.31184999998,114972.495456,159899.68595025002,13642.529978000006,514123.5505037001,29680.839420300006,552.5232950000009,47934.30505600001,-4007.3310126363613,138480.6882801,3074.8230479999984,247.00813511110755,9685.032337499993,1085.7941554999998
20,2916.949289999975,434687.63144689996,-18652.393705363633,139326.79170200002,39986.97040337502,592012.10344,1919409.8784523997,150636.3083797,645.4340373333398,-7806.265500999994,-7132.128816545453,61617.11825289999,1281.2881420000012,109.68978188888832,24254.930515199994,-2193.0444107000003
21,34162.93097999989,130374.6036236,24481.480385818184,183137.02896000003,6272.2727300000115,271389.44790699997,374098.2768621,-12694.23198489999,2188.525397999998,16444.182573000002,46837.09382036363,17895.537918,27786.437288999998,-2219.759542444448,4301.222305100004,2254.9773165000006
22,-3284.4370100000087,250588.06616479997,389228.57243636367,155166.36719999998,-12937.518213124975,-16012.337120000004,100902.89198990002,1337828.8615913,1285.973941999997,13576.528672,-794.6572763636323,21092.84690650001,3568.535876999995,21140.698077333334,6028.063670199997,29349.64292680002
