,Corrected CD63 ICAM,Corrected CD63 I + p30,Corrected CD63 I + TIGIT,Corrected CD63 I + p30 + TIGIT (2),Corrected CD63 I + PD-1,Corrected CD63 I + p30 + PD1,Corrected CD63 I + KLRG,Corrected CD63 I + p30 + KLRG,Corrected PFR ICAM,Corrected PFR I + p30,Corrected PFR I + TIGIT,Corrected PFR I + p30 + TIGIT (2),Corrected PFR I + PD-1,Corrected PFR I + p30 + PD1,Corrected PFR I + KLRG,Corrected PFR I + p30 + KLRG
10,31539.83748409999,37925.69104444445,23232.681167111106,872255.5390827778,2490.9667085,143277.29501571428,70583.05004199999,658137.433986,-1836.5481475000051,18921.777491666675,30912.361316888888,219216.66635555556,285280.559658,683752.7473665,60505.009668800005,127276.15104269996
11,50376.465540799996,71670.122888,127391.66639666667,3307213.604652778,2188.930204999997,293464.9791978572,37274.39801600002,129782.36813440005,12466.288278499997,181310.68994666668,-668.4168365555543,113184.6050898889,26966.70631641667,559393.1837384999,-995.2710327999976,3814.347555200002
12,6924.835742700008,1042520.2098064442,119566.23186933332,145695.02381133338,20480.254794,1423531.8129665714,490853.68087000004,212904.8756656,-2453.852049000001,66236.50733211111,38453.29868644445,106376.25472599998,-78.3361262499966,1521.1245230000059,114876.26864000002,9937.176495399995
13,7939.763665499995,36659.89927600001,332548.21329188894,470547.64000688895,23057.759344833335,1401262.6738485715,22694.46220600001,414031.04693740007,324.29256749999877,28036.17959722223,78830.223241,303427.2286016667,5008.437021250003,291980.84945000004,4775.382287999993,8388.971163299997
14,-13185.800072900005,299404.0729504444,188928.80611579164,375149.47619555565,5981.815715500008,122914.4699634286,19389.307,610638.6908160001,-462.3764865000012,213945.8786044444,1332.1886817777777,350413.08036888886,47890.76809900001,1015669.3015124999,6027.710726400008,227141.19432512356
15,47012.80716629999,479436.68729611114,2272595.342546667,193829.19080344448,7313.99479833334,1417346.5875357145,37631.390508,1855708.5399423998,-1788.4739924999994,367240.19432000007,14988.717276444451,188433.80221266666,-3451.30670225,62182.2036875,12930.598012799994,67332.3962003
16,140691.7192497,213800.6287342222,762941.2103168888,36217.42207455558,-80467.88828216665,118363.48056971429,328150.29344399995,1369976.3311584,3718.680426499999,479.5762688889008,3034.5583693333338,610997.4496094445,23558.83996625,1330388.3110874998,2559.6312973999957,173194.92528029997
17,-40541.85157110001,1270729.4780231111,62057.449475555535,411724.0891166667,-12344.614932833327,129691.00680642857,99154.63053499997,416637.2955888,-361.03596200000175,14431.46718288889,146981.56849422224,323166.32946100284,2075.0696370000023,1768483.935033,4540.4537346,716575.3866941
18,23135.3851479,557492.3924927777,130284.77040699999,178681.36233511113,32600.194841500008,569047.6691305713,41745.012795999995,67826.6384384,-2183.1195460000017,31599.176702777782,29191.78104888889,147586.5913322222,-4709.27229275,1121863.765308,7256.5444860000025,49634.4699357
19,36384.98753749998,1146652.2567084443,323519.82177833334,346648.127371,300853.83679800003,149498.76761814285,128800.66223699998,727337.627611,3601.7531369999997,26151.440185000007,27981.47829888889,65583.85964277778,-121.33939949999876,952281.6540875001,46791.469484,67711.2233083
20,-77284.08064710005,206443.52971111116,104361.20466966668,789808.1067946666,-1267.755470666656,186794.06471999997,5751.647219999999,53718.54104160002,-1593.531984000001,155101.96701488888,76565.22234622222,837287.3310822223,13874.418588249995,344723.06643749995,205.58205520000047,90796.0388329
21,21851.80019425744,-4438.6665433333255,87091.32191111111,911327.3833726667,27177.017571000004,3352956.733984,546674.5349999999,33343.18045920002,-2907.502331000007,239066.94657022224,-607.8673398888895,522273.6920572222,10631.642821500001,878982.6593575,-1649.7735641999898,86878.21743349999
22,-2274.6601793999944,132498.26167944446,210851.58399277777,463841.9894044445,-10119.862822166659,246507.3624798571,721862.81703,599004.0212156001,7144.702579499994,19683.820714888898,-2119.136391444441,420215.4986611111,312.73741275000157,1607734.7462475002,6237.756000000001,142175.64313890002
