Name,ICAM,p30,TIGIT,p30 + TIGIT
D1-250214,28012.961455909084,579042.1540904001,114995.64794400003,1206.0546134000033
D1-250214,22857.548219545453,787391.637417,896359.3656444,368020.28858570004
D1-250214,114334.94838054544,18681.012312199993,37735.7481082,65949.7701669
D1-250214,15517.853254090907,200717.48286419996,130186.0538384,38815.6914332
D1-250214,4966.694707727271,300595.3914789,144166.52122320002,292298.6680128
D1-250214,121348.74339490908,270817.83493189997,684112.6770816,386028.4920459
D1-250214,12032.464817454544,430044.31575,904071.4478424,289610.5609511
D1-250214,69856.22821090909,688485.2034074,278638.70867879305,128831.06393910001
D1-250214,60992.54899790909,188007.0448795,25700.83550439999,400802.36062469997
D1-250214,109247.81247654546,679815.6793195,235782.8142432,257391.43727756751
D1-250214,16145.672611454538,223514.42950550004,210494.9510692,258825.382431
D1-250214,68255.74921072728,1675585.293777,125775.761452,53453.02422239999
D1-250214,24994.916491999997,814001.1984109,79592.309504,557554.497425
D1-250214,-2304.3868932727273,232535.290582,129228.17469520001,34387.118902500006
D1-250214,17268.251388272736,190607.62534379997,326788.7272002001,739853.1745878
D1-250214,57857.182595636375,488622.3327232,58370.52474660002,187519.3085776
D1-250214,65097.42867736364,636925.8745429999,205021.0042426,30111.487664400003
D1-250214,7679.334177000004,143565.1823097,100733.13097920001,207296.81666009998
D1-250214,57391.29403636362,117628.8188906,98596.75885120001,149820.9362862
D1-250214,38163.96625772727,10914.306920999996,140707.54038000002,260874.49857000003
D1-250214,73322.98526563635,474772.36467660003,109432.0465344,178103.45929459998
D1-250214,47757.337605090914,700604.6825712001,23882.174556399994,297535.1002479
D1-250214,156662.94120727276,560597.6002432001,143702.50019440003,938833.8163294
D1-250214,66904.99290227272,23459.390743099997,247478.79925840005,54637.9084303
D1-250214,106545.30598436363,457809.7798929,113695.8288024,1047470.2313058999
D1-250214,46481.39452781818,33405.57951419999,74385.96226599999,29171.3859468
D1-250214,7261.547160909089,298473.3769409,54751.63553639999,136734.90291960002
D1-250214,265761.0395950909,368458.26086880005,386804.0466252,77569.8504646
D1-250214,5924.644933090909,770878.5457997001,182821.30391400002,16225.697906900008
D1-250214,21482.92004363636,242370.25163550003,289501.4400076,214498.3880502
D1-250214,32580.70863672727,949536.6615420999,482109.63902820006,274448.59910999995
D1-250214,14998.397509090908,1314420.0993508,349263.4808052,65573.258004
D1-250214,-2176.9412089090983,267170.9867517,147684.509036,442923.5608359
D1-250214,25017.07613599999,39362.37601149999,70801.6287396,296414.69207939995
D1-250214,18422.74319454546,41464.88224199999,119436.49013339999,96469.14414759999
D1-250214,116518.29782127273,1319765.9964665,141374.030294,45525.81166050001
D1-250214,82347.68679709092,680212.6292755,240526.95237760004,58449.31509170001
