,Name,ICAM,p30,KLRG,p30 + KLRG
28,D2_160125,-25.342133846133947,876886.1124408889,2003.0888052500013,88928.96400000002
29,D2_160125,80616.64361261541,127012.17224488888,76417.863776625,977425.8175950001
30,D2_160125,1683.393311692329,252045.63545944446,42873.161010749995,300057.89772157144
31,D2_160125,-10590.192748846137,143075.9846561111,241844.717071125,267072.7436765714
32,D2_160125,-15600.71949538462,763317.6514087777,101342.89995212502,1666945.2756091428
33,D2_160125,34151.51829935599,435383.2392373333,144242.61920025424,513525.4482857144
34,D2_160125,-23930.16576246149,274384.75800711114,307834.00734375,238865.47307342858
35,D2_160125,44135.59730815384,1129706.0266800001,55393.30926562501,3823.1808574285824
36,D2_160125,-5876.226370153847,140344.18011666668,290242.33155974996,228856.81846985713
37,D2_160125,-22381.584813615365,3080.6690513333306,352441.215044625,3044.855483571446
38,D2_160125,5979.649691076949,428043.30532255553,178416.670490625,4066.7431011428635
39,D2_160125,-72917.19442953845,633004.4296232221,32996.4383475,128008.22864885716
40,D2_160125,-66608.53144615384,684763.8861112222,321489.12503475,353347.06520914286
41,D2_160125,-18340.561359615356,508381.1899333333,69929.572305625,402643.8103435715
42,D2_160125,32165.728884307697,435749.89826133335,394008.7636622499,547538.795067
43,D2_160125,-2776.9250295384554,1252539.9218453332,199822.18572975,68651.27333957143
44,D2_160125,25540.493724,387977.5519386666,91628.33131750001,412158.45375828573
45,D2_160125,-15381.47072069229,2596021.292994667,93022.51834487497,156655.04783071426
46,D2_160125,100728.76623576923,75384.56653733333,31630.688237124996,154030.53353714285
0,D2_250207,54588.11766763636,242370.25163550003,28889.22509833333,216338.53433280002
1,D2_250207,31250.10563381818,22394.3210873,102874.62176933332,105629.6913112
2,D2_250207,202736.3657581818,636925.8745429999,65083.94187999997,256569.34114380006
3,D2_250207,16145.672611454538,577176.0895901,119300.26120056969,133278.1538955
4,D2_250207,26131.62583663636,228593.1632481,70771.28619333333,943405.5785524999
5,D2_250207,114334.94838054544,457809.7798929,162265.37010333332,139133.9044465
6,D2_250207,24695.733168000006,949536.6615420999,12093.970410000002,255043.10576650006
7,D2_250207,5969.401352727276,145212.56653890002,75600.77420133332,58923.852878800004
