,Name,ICAM,p30,KLRG1,p30 + KLRG1
29,D1-150125,159275.79049133335,201831.0888567,57469.770825,-1027.1148992000017
30,D1-150125,-1376.9824653333362,36906.18720600002,3771.4262799999997,73641.05550559997
31,D1-150125,15564.20074,422770.3299352,43618.544733333336,139718.7445088
32,D1-150125,249656.593558,96852.34320855331,162467.25919733333,189910.726619
33,D1-150125,92977.98085766665,514005.28659369994,379118.44554799993,222233.4645858
34,D1-150125,124091.86662266665,75223.47584380001,3146.577736666666,761754.91021
35,D1-150125,19177.313541333333,39662.61535790001,160595.29009333334,128209.61250942863
36,D1-150125,160325.35418666666,71669.2562593,67712.84083333334,68835.69770880001
37,D1-150125,10163.921674666664,73321.50378000001,90741.73383900001,176621.979264
38,D1-150125,-4981.9077110000035,2394.306861900004,72777.35874266666,128713.12227739999
